店名,経度,緯度,レストラン　カフェ,肉　魚　麺,そば ラーメン,日本食　中華　その他,郵便番号,住所,営業日/営業時間,電話番号（正式）,URL,,,
開運占いカフェ 七夢,"34.79805218,138.0750165",34.79805218,カフェ,,,,436-0004,掛川市八坂640-1　事務八幡宮前,平日10時00分～16時00分　土日10時00分～17時00分,1537271300,https://www.nanayume.jp/,,,
掛川エスキューブ レンタルスペース&カフェ,"34.77418811,137.9721712",34.77418811,カフェ,,,,436-0037,掛川市岡津46-7,,19066763182,,,,
掛川城二の丸茶室,"34.77575361,138.0142683",34.77575361,カフェ,,,,436-0079,掛川市掛川1138-24,9時30分～17時00分,1537231199,,,,
喫茶・スパゲティ ビーバー,"34.66610063,138.0054446",34.66610063,カフェ,麺,,,437-1302,掛川市大渕6475-1,,1537484914,,,,
喫茶インディアンライト,"34.68478292,137.9875669",34.68478292,カフェ,,,,437-1304,掛川市西大渕5663,10時30分～19時30分　定休日、木・金,,,,,
喫茶コーナー　道の駅,"34.79416287,138.0757686",34.79416287,カフェ,,,,436-0004,掛川市八坂822番2-1,9時00分～16時30分　定休日、第２月,537272600,,,,
喫茶樹々（キキ）cafekiki,"34.76252962,138.0295813",34.76252962,カフェ,,,,436-0030,掛川市杉谷南2丁目6-2,8時00分～18時00分　定休日、月・火,1537287723,,,,
森のピザやさん,"34.80298027,137.9752287",34.80298027,カフェ,,,,436-0226,掛川市遊家24-1,不明,5372620084,,,,
森の喫茶店MARIKO,"34.82646122,137.9932168",34.82646122,カフェ,,,,436-0221,掛川市上垂木3219-1,月火水木金曜日　10時から17時,1537263915,,,,
晴れときどきcafe,"34.68224936,137.9799729",34.68224936,カフェ,,,,437-1301,掛川市横須賀136,月火水土曜日、13時00分～17時30分　木曜日、定休日,,なさそ,,,
静岡茶ハーブ希少糖ブレンドティーバッグ・MUGTEA,"34.76527786,138.0271749",34.76527786,カフェ,,,,436-0030,掛川市杉谷南1丁目26-4,金・土・日13時00分～18時00分　定休日、月・火・水・木,,https://www.mugtea.com/,,,
大村園,"34.77170168,138.0219873",34.77170168,カフェ,,,,436-0079,掛川市掛川85,平日　8時00分～17時00分　土日　10時00分～15時00分,1537245228,https://omuraen.jp/,,,
茶の庭,"34.74560395,138.0516911",34.74560395,カフェ,,,,436-0012,掛川市上内田389-1,10時00分～18時00分　定休日、水,1537287077,https://chanoniwa.com/,,,
茶房六軒京,"34.76794849,138.0199882",34.76794849,カフェ,,,,436-0022,掛川市上張433-13,,1537232534,,,,
東山いっぷく処,"34.83661733,138.075466",34.83661733,カフェ,,,,436-0001,掛川市東山1173-2,月火水木金曜日、9時00分～16時00分,1537272266,http://www.higashiyamacha.jp/,,,
日本茶きみくら 本店,"34.75292079,138.0324693",34.75292079,カフェ,,,日本食,436-0016,掛川市坂沢510-5,水木金土日月曜日、10時00分～18時00分　火曜日、定休日,1537246008,https://kimikura.co.jp/honten,,,
㈲マッターホーン洋菓子店,"34.78016324,138.0068704",34.78016324,カフェ,,,,436-0051,掛川市中宿128,金土日月火水曜日、9時00分～19時00分　、木曜日、定休日,1537243422,,,,
陽だまり,"34.78087645,138.0053897",34.78087645,カフェ,,,,436-0051,掛川市中宿192-1,木金土日月火曜日、8時00分～18時00分　水曜日、定休日,1537644070,なさそ,,,
珈琲紅茶専門店ＺＡＰＡＤＡ,"34.77220374,138.0528243",34.77220374,カフェ,,,,436-0011,掛川市満水1279-1,7時30分～18時00分　定休日、木,1537610070,http://zapada.hamazo.tv/,,,
珈琲専科 ぎょくろ,"34.77580192,138.0348623",34.77580192,カフェ,,,,436-0073,掛川市金城134,8時00分～19時00分　定休日、火,1537242260,,,,
珈琲茶屋る・くるーん,"34.77995236,138.0060701",34.77995236,カフェ,,,,436-0051,掛川市中宿120,火・水・木　9時00分～17時00分　金・土・日　9時00分～20時00分　定休日、月,1537647977,http://xn--y8j8fb6az5bia8178enjwbj1ak21i.com/?utm_source=gmb&utm_medium=referral,,,
